,0,0,0,0,0
fecha,lluvia,luz,viento,temperatura,humedad
2025-12-04 16:00:00,100,200,1.5,22,60
2025-12-04 16:00:00,100,200,1.5,22,1000
2025-12-04 16:00:00,100,200,1.5,22,-100
2025-12-04 16:00:00,100,200,1.5,22,-200
2025-12-04 16:00:00,100,200,1.5,22,-100
2025-12-04 15:44:54,4095,19.17,0,19.4,50
2025-12-04 15:45:03,4095,13.33,0,19.4,50
2025-12-04 15:45:11,4095,13.33,0,19.4,50
2025-12-04 15:45:20,4095,15,0,19.4,50
2025-12-04 15:45:29,4095,12.5,0,19.4,50
2025-12-04 15:45:36,4095,13.33,0,19.4,50
2025-12-04 15:45:44,4095,16.67,0,19.4,50
2025-12-04 15:45:53,4095,15.83,0,19.4,50
2025-12-04 15:46:01,4095,16.67,0,19.4,50
2025-12-04 15:46:13,4095,16.67,0,19.4,50
2025-12-04 15:46:21,4095,16.67,0,19.3,50
2025-12-04 15:46:33,4095,16.67,0,19.3,50
2025-12-04 15:47:02,4095,15,0,19.2,50
2025-12-04 15:47:20,4095,19.17,0,19,50
2025-12-04 15:47:30,2293,18.33,0,19,50
2025-12-04 15:48:32,1787,17.5,0,19,50
2025-12-04 15:48:44,2215,17.5,0,19,50
2025-12-04 15:50:57,3032,9526.67,0,19,50
2025-12-04 15:51:10,3043,4960,0,19,51
2025-12-04 15:51:19,3085,19.17,0,19,51
2025-12-04 15:51:28,3056,27.5,0,19,52
2025-12-04 15:51:37,3105,33.33,0,19,51
2025-12-04 15:51:47,3152,33.33,0,19,51
2025-12-04 15:51:56,3171,34.17,0,19,51
2025-12-04 15:52:04,3173,34.17,0,19,51
2025-12-04 15:52:24,3291,30,0,19,51
2025-12-04 15:52:32,3307,33.33,0,19,50
2025-12-04 15:52:40,3343,28.33,0,19,50
2025-12-04 15:52:50,2187,69.17,0,19,50
2025-12-04 15:54:52,2637,0,0,16.6,50
2025-12-04 15:55:00,2709,9793.33,0,16.6,50
2025-12-04 15:55:09,2703,10839.17,0,16.6,50
2025-12-04 15:55:18,2865,10053.33,0,16.6,50
2025-12-04 15:55:28,2381,10859.17,0,16.6,50
2025-12-04 15:55:36,2379,10953.33,0,16.6,50
2025-12-04 15:55:45,2357,11043.33,0,16.6,50
2025-12-04 15:55:53,2368,11131.67,0,16.6,50
2025-12-04 15:56:02,2365,11209.17,0,16.6,50
2025-12-04 15:56:10,2388,11251.67,0,16.6,50
2025-12-04 15:56:18,2434,11269.17,0,16.6,50
2025-12-04 15:56:26,2481,11283.33,0,16.6,50
2025-12-04 15:56:36,2605,11265.83,0,16.6,50
2025-12-04 15:56:45,2727,11248.33,0,16.6,50
2025-12-04 15:56:54,2827,11246.67,0,16.6,50
2025-12-04 15:57:05,2981,11215.83,0,16.6,50
2025-12-04 15:57:22,3232,11135.83,0,16.6,50
2025-12-04 15:57:31,3365,11074.17,0,16.6,50
2025-12-04 15:57:56,3733,10879.17,0,16.6,50
2025-12-04 15:58:37,4095,10503.33,0,16.1,50
2025-12-04 16:00:52,2320,15463.33,0,16.1,50
2025-12-04 16:01:02,2321,25076.67,0,16.1,50
2025-12-04 16:01:14,2374,44284.16,0,16.1,51
2025-12-04 16:01:23,2370,54612.5,0,16.6,51
2025-12-04 16:01:32,2359,54612.5,0,17,51
2025-12-04 16:01:40,2359,54612.5,0,17.4,51
2025-12-04 16:01:55,2288,52526.66,0,17.8,50
2025-12-04 16:02:03,2202,54612.5,0,18.6,50
2025-12-04 16:02:12,2207,54612.5,0,19,50
2025-12-04 16:02:20,2240,54612.5,0,19.4,50
2025-12-04 16:02:28,2288,54612.5,0,19.8,49
2025-12-04 16:02:37,2274,54612.5,0,20.2,49
2025-12-04 16:02:46,2285,54612.5,0,20.6,49
2025-12-04 16:02:54,2286,54612.5,0,21.4,47
2025-12-04 16:03:04,2305,54612.5,0,21.8,47
2025-12-04 16:03:12,2341,54612.5,0,22.2,46
2025-12-04 16:03:21,2448,54612.5,0,22.6,46
2025-12-04 16:03:30,2661,54612.5,0,23,45
2025-12-04 16:03:38,3294,54606.66,0,23.4,44
2025-12-04 16:03:47,4095,47750,0,23.8,44
2025-12-04 16:03:55,3948,54586.66,0,23.8,43
2025-12-04 16:04:04,3993,54612.5,0,23.8,43
2025-12-04 16:04:13,4095,54612.5,0,23.8,43
2025-12-04 16:04:21,4095,54612.5,0,23.8,42
2025-12-04 16:04:30,4095,54612.5,0,24.1,42
2025-12-04 16:04:38,4095,54612.5,0,24.2,42
2025-12-04 16:05:09,4095,37285,15.83,24.5,42
2025-12-04 16:05:24,4095,54612.5,8.48,26.2,40
2025-12-04 16:05:33,4095,54612.5,0,26.7,40
2025-12-04 16:05:49,4095,54612.5,0,27.1,39
2025-12-04 16:06:04,4095,39428.33,0,0,0
2025-12-04 16:06:14,4095,54612.5,0,0,0
2025-12-04 16:06:24,4095,54612.5,0,0,0
2025-12-04 16:06:34,4095,54612.5,0,0,0
2025-12-04 16:06:42,4095,54612.5,0,0,0
2025-12-04 16:06:51,4095,54612.5,0,0,0
2025-12-04 16:07:00,4095,54612.5,0,0,0
2025-12-04 16:07:09,4095,54612.5,0,0,0
2025-12-04 16:07:18,4095,54612.5,0.57,0,0
2025-12-04 16:07:27,4095,54612.5,0,0,0
2025-12-04 16:07:36,4095,54612.5,0,30.2,32
2025-12-04 16:07:45,4095,54612.5,0,30.2,32
2025-12-04 16:07:53,4095,54612.5,0,29.8,32
2025-12-04 16:08:02,4095,54612.5,0,29.8,32
2025-12-04 16:08:11,4095,54612.5,0,29.8,31
2025-12-04 16:08:19,4095,54612.5,0,29.3,31
2025-12-04 16:08:27,4095,54612.5,0,29.8,31
2025-12-04 16:08:37,4095,54612.5,0,29.8,31
2025-12-04 16:08:45,4095,54612.5,0,29.8,31
2025-12-04 16:08:54,4095,54612.5,0,29.8,31
2025-12-04 16:09:03,4095,54612.5,0,30.2,30
2025-12-04 16:09:12,4095,54612.5,0,30.2,30
2025-12-04 16:09:21,4095,54612.5,0,30.8,30
2025-12-04 16:09:30,4095,54612.5,0,30.8,29
2025-12-04 16:09:38,4095,54612.5,0,30.8,29
2025-12-04 16:09:46,4095,54612.5,0,30.8,29
2025-12-04 16:09:54,4095,54612.5,0,30.8,28
2025-12-04 16:10:03,4095,54612.5,0,31.3,28
2025-12-04 16:10:18,4095,54612.5,0,31.3,28
2025-12-04 16:10:26,4095,54612.5,0,31.8,28
2025-12-04 16:10:35,4095,54612.5,0,31.8,27
2025-12-04 16:10:43,4095,54612.5,0,31.8,27
2025-12-04 16:10:50,4095,54612.5,0,32.3,27
2025-12-04 16:11:00,4095,54612.5,0,32.3,27
2025-12-04 16:11:17,4095,54612.5,0,32.3,27
2025-12-04 16:11:25,4095,54612.5,0,32.3,26
2025-12-04 16:11:33,4095,54612.5,0,32.3,26
2025-12-04 16:11:42,4095,54612.5,0,32.3,26
2025-12-04 16:11:50,4095,54612.5,0,32.3,26
2025-12-04 16:11:59,4095,54612.5,0,0,0
2025-12-04 16:12:07,4095,54612.5,0,31.8,26
2025-12-04 16:12:16,4095,54612.5,0,31.8,26
2025-12-04 16:12:26,4095,54612.5,0,31.3,26
2025-12-04 16:12:34,4095,54612.5,0,31.3,26
2025-12-04 16:12:56,4095,0,0,31.8,26
2025-12-04 16:13:04,4095,54612.5,0,31.8,26
2025-12-04 16:13:12,4095,54612.5,0,31.8,25
2025-12-04 16:13:20,4095,54612.5,0,31.8,25
2025-12-04 16:13:29,4095,54612.5,0,31.8,25
2025-12-04 16:13:37,4095,54612.5,0,31.8,25
2025-12-04 16:13:45,4095,54612.5,0,31.8,25
2025-12-04 16:13:54,4095,54612.5,0,32.3,25
2025-12-04 16:14:02,4095,54612.5,0,32.3,25
2025-12-04 16:14:10,4095,54612.5,0,32.3,25
2025-12-04 16:14:18,4095,54612.5,3.96,32.3,25
2025-12-04 16:14:26,4095,54612.5,0,32.3,25
2025-12-04 16:14:34,4095,54612.5,0,32.3,25
2025-12-04 16:14:42,4095,54612.5,0,31.8,24
2025-12-04 16:14:50,4095,54612.5,0,31.8,24
2025-12-04 16:14:58,4095,54612.5,0,31.8,24
2025-12-04 16:15:06,4095,54612.5,0,31.8,24
2025-12-04 16:15:14,4095,54612.5,0,31.8,24
2025-12-04 16:15:22,4095,54612.5,0,31.8,24
2025-12-04 16:15:30,4095,54612.5,0,31.8,24
2025-12-04 16:15:39,4095,54612.5,0,31.8,24
2025-12-04 16:15:47,4095,54612.5,0,31.3,24
2025-12-04 16:15:55,4095,54612.5,0,31.3,24
2025-12-04 16:16:03,4095,54612.5,0,31.6,24
2025-12-04 16:16:11,4095,54612.5,0,31.7,24
2025-12-04 16:16:19,4095,54612.5,0,31.8,24
2025-12-04 16:16:27,4095,54612.5,0,31.7,24
2025-12-04 16:16:35,4095,54612.5,0,31.3,24
2025-12-04 16:16:44,4095,54612.5,0,31.3,24
2025-12-04 16:16:53,4095,54612.5,0,30.8,24
2025-12-04 16:17:01,4095,54612.5,0,30.8,24
2025-12-04 16:17:09,4095,54612.5,0,30.2,24
2025-12-04 16:17:17,4095,54612.5,0,30.2,24
2025-12-04 16:17:25,4095,54612.5,0,30.2,24
2025-12-04 16:17:33,4095,54612.5,0,30.2,24
2025-12-04 16:17:41,4095,54612.5,0,30.2,24
2025-12-04 16:17:49,4095,54612.5,0,30.2,24
2025-12-04 16:17:57,4095,54612.5,0,30.2,24
2025-12-04 16:18:06,4095,54612.5,0,29.8,25
2025-12-04 16:18:16,4095,54612.5,0,29.8,26
2025-12-04 16:18:24,4095,54612.5,0,29.8,26
2025-12-04 16:18:32,4095,54612.5,0,29.8,26
2025-12-04 16:18:41,4095,54612.5,0,29.8,26
2025-12-04 16:18:50,4095,54612.5,0,30.1,25
2025-12-04 16:18:58,4095,54612.5,0,30.2,25
2025-12-04 16:19:06,4095,54612.5,0.57,30.2,25
2025-12-04 16:19:15,4095,54612.5,1.13,30.7,25
2025-12-04 16:19:23,4095,54612.5,0,30.7,25
2025-12-04 16:19:32,4095,54612.5,0,30.8,25
2025-12-04 16:19:41,4095,54612.5,0,30.8,25
2025-12-04 16:19:49,4095,54612.5,0,30.8,25
2025-12-04 16:19:58,4095,54612.5,0,31.3,25
2025-12-04 16:20:06,4095,54570,0,31.3,25
2025-12-04 16:20:14,4095,54612.5,0,31.3,25
2025-12-04 16:20:22,4095,54612.5,0,30.8,25
2025-12-04 16:20:32,4095,54612.5,1.13,30.8,25
2025-12-04 16:20:40,4095,54612.5,0,30.2,24
2025-12-04 16:20:48,4095,54612.5,0,29.8,26
2025-12-04 16:20:56,4095,54612.5,0,29.8,25
2025-12-04 16:21:04,4095,54612.5,0,29.8,25
2025-12-04 16:21:12,4095,54612.5,0,29.8,26
2025-12-04 16:21:25,4095,54612.5,0,29.8,26
2025-12-04 16:21:33,4095,54612.5,0,29.8,26
2025-12-04 16:21:42,4095,54561.66,0,30.1,25
2025-12-04 16:21:50,4095,54364.16,0,30.2,25
2025-12-04 16:21:59,4095,54486.66,0,30.2,25
2025-12-04 16:22:13,4095,54315,0,30.7,25
2025-12-04 16:22:22,4095,53388.33,0,30.8,25
2025-12-04 16:22:31,4095,52667.5,0,30.8,25
2025-12-04 16:22:39,4095,51805.83,0,30.6,25
2025-12-04 16:22:48,4095,51040,0,30.2,25
2025-12-04 16:22:56,4095,50100,0,30.2,25
2025-12-04 16:23:47,4095,49373.33,0,29.3,26
2025-12-04 16:24:01,4095,49673.33,0.57,29.3,26
2025-12-04 16:24:16,4095,49903.33,0.57,29,26
2025-12-04 16:24:44,4095,49087.5,0,28.5,26
2025-12-04 16:24:56,4095,49425,0,28,26
2025-12-04 16:25:06,4095,46582.5,0,27.6,28
2025-12-04 16:25:21,4095,27781.67,0,27.6,28
2025-12-04 16:25:32,4095,45901.66,0,27.1,28
2025-12-04 16:26:14,4095,49833.33,0,27.1,29
2025-12-04 16:26:23,4095,50289.16,0,27.1,29
2025-12-04 16:26:34,4095,50635,0,27.1,29
2025-12-04 16:26:46,4095,51014.16,0,27.1,30
2025-12-04 16:27:00,4095,50401.66,0,27.1,30
2025-12-04 16:27:09,4095,51213.33,0,27.6,30
2025-12-04 16:27:19,4095,50960,0,27.6,30
2025-12-04 16:27:27,4095,50580,0,27.6,30
2025-12-04 16:27:35,4095,50370.83,0,27.6,30
2025-12-04 16:27:44,4095,49949.16,0,27.6,30
2025-12-04 16:27:52,4095,49458.33,0.57,27.6,30
2025-12-04 16:28:00,4095,49388.33,0,28,29
2025-12-04 16:28:12,4095,48996.66,0,27.6,30
2025-12-04 16:28:20,4095,49070,0,27.6,30
2025-12-04 16:28:28,4095,49032.5,0,27.1,30
2025-12-04 16:28:37,4095,48306.66,0,27.1,30
2025-12-04 16:28:45,4095,47718.33,0,27.1,30
2025-12-04 16:28:54,4095,46748.33,0,27.1,30
2025-12-04 16:29:03,4095,45480,0,27.1,30
2025-12-04 16:29:14,4095,45078.33,0,27.1,30
2025-12-04 16:29:22,4095,45208.33,0,27.2,30
2025-12-04 16:29:33,4095,44915,0,27.6,30
2025-12-04 16:29:41,4095,44904.16,0,27.6,30
2025-12-04 16:29:50,4095,44293.33,0,28,29
2025-12-04 16:29:58,4095,37041.66,0,28.1,29
2025-12-04 16:30:07,4095,25280.83,0,28.3,29
2025-12-04 16:30:15,4095,19723.33,0,28.1,29
2025-12-04 16:30:24,4095,20905.83,0,28,29
2025-12-04 16:30:32,4095,25309.17,0,28,28
2025-12-04 16:30:41,4095,26304.17,0,27.6,30
2025-12-04 16:30:49,4095,26992.5,0,27.1,30
2025-12-04 16:30:58,4095,23319.17,0,26.7,29
2025-12-04 16:31:06,4095,18780.83,0,26.2,30
2025-12-04 16:31:14,4095,15688.33,0,25.8,30
2025-12-04 16:31:22,4095,14949.17,0,25.3,30
2025-12-04 16:31:30,4095,12878.33,0,24.9,30
2025-12-04 16:31:38,4095,10225,0,24.5,30
2025-12-04 16:31:46,4095,8823.33,0,24.5,31
2025-12-04 16:31:54,4095,8160,0,24.1,31
2025-12-04 16:32:03,4095,7715.83,0,23.8,31
2025-12-04 16:32:11,4095,7468.33,0,23.4,32
2025-12-04 16:32:20,4095,7305.83,0,23.4,32
2025-12-04 16:32:28,4095,7170,0,23,32
2025-12-04 16:32:36,4095,7045.83,0,22.7,33
2025-12-04 16:32:45,4095,6935,0,22.3,33
2025-12-04 16:32:55,4095,6864.17,0,22.2,33
2025-12-04 16:33:03,4095,6836.67,0,21.8,34
2025-12-04 16:33:11,4095,6864.17,0,21.4,34
2025-12-04 16:33:21,4095,6885,0,21.4,34
2025-12-04 16:33:29,4095,6792.5,0,21,34
2025-12-04 16:33:39,4095,6705,0,20.7,36
2025-12-04 16:33:46,4095,6610.83,0,20.6,37
2025-12-04 16:33:55,4095,6535,0,20.2,37
2025-12-04 16:34:03,4095,6511.67,0,20.2,38
2025-12-04 16:34:14,4095,6534.17,0,20.1,38
2025-12-04 16:34:23,4095,6553.33,0,19.8,39
2025-12-04 16:34:31,4095,6538.33,0,19.8,39
2025-12-04 16:34:40,4095,6539.17,0,19.5,39
2025-12-04 16:34:48,4095,6595.83,0,19.4,40
2025-12-04 16:34:57,4095,6625.83,0,19.4,40
2025-12-04 16:35:05,4095,6670,0,19.4,40
2025-12-04 16:35:18,4095,6770,0,19.3,40
2025-12-04 16:35:26,4095,6812.5,0,19,41
2025-12-04 16:35:34,4095,6840,0,18.8,41
2025-12-04 16:35:43,4095,6781.67,0,18.7,42
2025-12-04 16:35:52,4095,6700.83,0,18.6,42
2025-12-04 16:36:00,4095,6649.17,0,18.6,42
2025-12-04 16:36:08,4095,6673.33,0.57,18.3,43
2025-12-04 16:36:16,4095,6737.5,0,18.2,43
2025-12-04 16:00:00,100,200,1.5,22,60
2025-12-04 16:00:00,100,200,1.5,22,1000
2025-12-04 16:36:25,4095,6861.67,0,18.2,43
2025-12-04 16:36:33,4095,6890.83,0,17.9,44
2025-12-04 16:36:43,4095,6864.17,0,17.9,44
2025-12-04 16:36:51,4095,6803.33,0,17.9,44
2025-12-04 16:36:59,4095,6820.83,0,17.9,44
2025-12-04 16:37:07,4095,6925.83,0,17.8,45
2025-12-04 16:37:16,4095,6994.17,0,17.8,45
2025-12-04 16:37:24,4095,7107.5,0,17.8,45
2025-12-04 16:37:33,4095,7107.5,0,17.5,45
2025-12-04 16:37:41,4095,7030,0,17.5,45
2025-12-04 16:37:50,4095,6973.33,0,17.4,45
2025-12-04 16:37:59,4095,6959.17,0,17.4,45
2025-12-04 16:38:09,4095,6955.83,0,17.4,46
2025-12-04 16:38:17,4095,7002.5,0,17.4,46
2025-12-04 16:38:35,4095,7273.33,0,17.4,46
2025-12-04 16:39:13,4095,7188.33,0,17.4,46
2025-12-04 16:39:23,4095,7071.67,0,17,47
2025-12-04 16:39:33,4095,7090,0,17,47
2025-12-04 16:39:41,4095,7105,0,17,47
2025-12-04 16:40:00,4095,7004.17,0,17,47
2025-12-04 16:40:08,4095,6985,0,17,48
2025-12-04 16:40:17,4095,6976.67,0,17,48
2025-12-04 16:40:26,4095,6969.17,0,17,48
2025-12-04 16:40:33,4095,6960,0,17,48
2025-12-04 16:40:42,4095,6960.83,0,17,48
2025-12-04 16:41:03,4095,6900.83,0,16.6,48
2025-12-04 16:41:14,4095,6890,0,16.6,48
2025-12-04 16:41:36,4095,6959.17,0,16.6,49
2025-12-04 16:41:48,4095,7108.33,0,16.6,49
2025-12-04 16:42:02,4095,7088.33,0,16.6,49
2025-12-04 16:42:11,4095,7010.83,0,16.6,49
2025-12-04 16:42:25,4095,7037.5,0,16.6,49
2025-12-04 16:42:43,4095,6940,0,16.6,49
2025-12-04 16:42:51,4095,6908.33,0,16.2,49
2025-12-04 16:42:59,4095,6895,0,16.2,49
2025-12-04 16:43:07,4095,6895.83,0,16.1,49
2025-12-04 16:43:15,4095,6885.83,0,16.1,50
2025-12-04 16:43:24,4095,6877.5,0,16.1,50
2025-12-04 16:43:33,4095,6914.17,0,16.1,50
2025-12-04 16:43:42,4095,6938.33,0,16.1,50
2025-12-04 16:43:50,4095,6966.67,0,16.2,50
2025-12-04 16:43:58,4095,6938.33,0,16.2,50
2025-12-04 16:44:07,4095,6764.17,0,16.2,50
2025-12-04 16:44:15,4095,6606.67,0,16.2,50
2025-12-04 16:44:23,4095,6495,0,16.2,50
2025-12-04 16:44:31,4095,6391.67,0,16.2,50
2025-12-04 16:44:41,4095,6298.33,0,16.2,50
2025-12-04 16:44:49,4095,6226.67,0,16.2,50
2025-12-04 16:44:57,4095,6142.5,0,16.2,50
2025-12-04 16:45:05,4095,6078.33,0,16.2,50
2025-12-04 16:45:13,4095,6022.5,0,16.2,50
2025-12-04 16:45:22,4095,5970.83,0,16.1,50
2025-12-04 16:45:30,4095,5924.17,0,16.1,50
2025-12-04 16:45:39,4095,5876.67,0,16.2,50
2025-12-04 16:45:47,4095,5832.5,0,16.1,50
2025-12-04 16:45:56,4095,5792.5,0,16.2,50
2025-12-04 16:46:04,4095,5755,0,16.1,50
2025-12-04 16:46:12,4095,5717.5,0,16.1,50
2025-12-04 16:46:20,4095,5676.67,0,16.1,50
2025-12-04 16:46:28,4095,5621.67,0,16.1,50
2025-12-04 16:46:37,4095,5569.17,0,16.1,50
2025-12-04 16:46:45,4095,5538.33,0,16.1,50
2025-12-04 16:46:55,4095,5487.5,0,15.7,51
2025-12-04 16:47:03,4095,5348.33,0.57,15.7,51
2025-12-04 16:47:14,4095,5416.67,0,15.7,51
2025-12-04 16:47:22,4095,5388.33,0,15.7,51
2025-12-04 16:47:30,4095,5251.67,0.57,15.6,52
2025-12-04 16:47:38,4095,5302.5,0,15.3,52
2025-12-04 16:47:48,4095,5240.83,0.57,15.2,52
2025-12-04 16:47:56,4095,5292.5,0,15.2,52
2025-12-04 16:48:04,4095,5282.5,0,15.2,52
2025-12-04 16:48:12,4095,5082.5,0.57,15.1,52
2025-12-04 16:48:20,4095,5143.33,0.57,14.8,53
2025-12-04 16:48:29,4095,5114.17,0,14.8,53
2025-12-04 16:49:23,4095,4865.83,0,14.8,53
2025-12-04 16:49:38,4095,4810,0,14.8,54
2025-12-04 16:49:46,4095,4777.5,0,14.8,54
2025-12-04 16:49:59,4095,4825,0,14.8,54
2025-12-04 16:50:16,4095,4744.17,0,14.8,54
2025-12-04 16:50:25,4095,4706.67,0,14.7,54
2025-12-04 16:50:33,4095,4651.67,0,14.8,54
2025-12-04 16:50:42,4095,4590,0,14.8,54
2025-12-04 16:50:51,4095,4649.17,0,14.8,54
2025-12-04 16:50:59,4095,4608.33,0,14.8,55
2025-12-04 16:51:08,4095,4553.33,0,14.8,55
2025-12-04 16:51:17,4095,4488.33,0,14.5,55
2025-12-04 16:51:25,4095,4425.83,0,14.5,55
2025-12-04 16:51:33,4095,4356.67,0,14.5,55
2025-12-04 16:51:41,4095,4293.33,0,14.5,55
2025-12-04 16:51:50,4095,4228.33,0,14.5,55
2025-12-04 16:51:58,4095,4169.17,0,14.5,55
2025-12-04 16:52:06,4095,4108.33,0,14.5,55
2025-12-04 16:52:15,4095,4059.17,0,14.5,55
2025-12-04 16:52:23,4095,4011.67,0,14.5,55
2025-12-04 16:52:31,4095,3338.33,1.7,14.5,55
2025-12-04 16:52:39,4095,3865.83,0,14.5,55
2025-12-04 16:52:48,4095,3828.33,0,14.5,55
2025-12-04 16:52:57,4095,3795.83,0,14.5,55
2025-12-04 16:53:05,4095,3760,0,14.5,55
2025-12-04 16:53:14,4095,3727.5,0,14.5,55
2025-12-04 16:53:22,4095,3697.5,0,14.5,55
2025-12-04 16:53:30,4095,3610.83,0,14.5,55
2025-12-04 16:53:38,4095,3644.17,0,14.5,55
2025-12-04 16:53:48,4095,3615,0,14.5,55
2025-12-04 16:53:56,4095,3590.83,0,14.5,55
2025-12-04 16:54:04,4095,3564.17,0,14.5,55
2025-12-04 16:54:12,4095,3538.33,0,14.5,55
2025-12-04 16:54:20,4095,3510,0,14.5,55
2025-12-04 16:54:28,4095,3480,0,14.5,55
2025-12-04 16:54:37,4095,3451.67,0,14.5,55
2025-12-04 16:54:45,4095,3415,0,14.5,55
2025-12-04 16:54:53,4095,3394.17,0,14.5,55
2025-12-04 16:55:03,4095,3370.83,0,14.5,55
2025-12-04 16:55:14,4095,3330,0,14.4,55
2025-12-04 16:55:22,4095,3303.33,0,14.4,55
2025-12-04 16:55:31,4095,3276.67,0,14.4,55
2025-12-04 16:55:38,4095,3254.17,0,14.4,55
2025-12-04 16:55:46,4095,3225.83,0,14.4,56
2025-12-04 16:55:54,4095,3188.33,0,14.2,56
2025-12-04 16:56:03,4095,3159.17,0,14.1,56
2025-12-04 16:56:10,4095,3132.5,0,14.1,56
2025-12-04 16:56:19,4095,3113.33,0,14.1,56
2025-12-04 16:56:27,4095,3084.17,0,14.1,56
2025-12-04 16:56:36,4095,2996.67,0,14.1,56
2025-12-04 16:56:44,4095,2978.33,0,14.1,56
2025-12-04 16:56:52,4095,2958.33,0,14.1,56
2025-12-04 16:57:00,4095,2960,0.57,14.1,56
2025-12-04 16:57:09,4095,2931.67,0,14.1,56
2025-12-04 16:57:17,4095,2905.83,0,14.1,56
2025-12-04 16:57:26,4095,2882.5,0,14.1,56
2025-12-04 16:57:34,4095,2857.5,0,14.1,56
2025-12-04 16:57:41,4095,2835.83,0,14.1,56
2025-12-04 16:57:50,4095,2806.67,0,14.1,56
2025-12-04 16:57:59,4095,2780.83,0,14.1,56
2025-12-04 16:58:07,4095,2755,0,14.1,56
2025-12-04 16:58:15,4095,2732.5,0,14.1,56
2025-12-04 16:58:23,4095,2707.5,0,14.1,56
2025-12-04 16:58:31,4095,2685,0,14.1,56
2025-12-04 16:58:39,4095,2661.67,0,14.1,57
2025-12-04 16:58:48,4095,2640.83,0,14.1,57
2025-12-04 16:58:56,4095,2624.17,0,14.1,57
2025-12-04 16:59:04,4095,2604.17,0,14.1,56
2025-12-04 16:59:12,4095,2587.5,0,14.1,57
2025-12-04 16:59:21,4095,2566.67,0,14.1,56
2025-12-04 16:59:32,4095,2546.67,0,14,56
2025-12-04 16:59:41,4095,2532.5,0,13.8,56
2025-12-04 16:59:49,4095,2518.33,0,13.8,56
2025-12-04 16:59:58,4095,2499.17,0,13.8,57
2025-12-04 17:00:06,4095,2485,0,13.8,56
2025-12-04 17:00:15,4095,2469.17,0,13.8,56
2025-12-04 17:00:26,4095,2451.67,0,13.8,56
2025-12-04 17:00:34,4095,2440,0,13.8,56
2025-12-04 17:00:42,4095,2429.17,0,13.8,56
2025-12-04 17:00:52,4095,2418.33,0,13.7,56
2025-12-04 17:01:01,4095,2409.17,0,13.7,56
2025-12-04 17:01:30,4095,2385.83,0,13.7,57
2025-12-04 17:02:21,4095,2355,0,13.7,57
2025-12-04 17:02:29,4095,2350,0,13.4,57
2025-12-04 17:02:38,4095,2338.33,0,13.4,57
2025-12-04 17:02:48,4095,2330,0,13.4,57
2025-12-04 17:03:03,4095,2317.5,0,13.4,57
2025-12-04 17:03:34,4095,2298.33,0,13.4,58
2025-12-04 17:03:54,4095,2288.33,0,13.4,58
